ProfitRatio,CustomerName,Discount%,OrderKey,CustomerSegment,City,Region,State,Country,ShipmentMode,OrderDate,ShipDate,ProductName,Manafacturer,ProductSubcategory,ProductCategory,Profit,Qty,Sale
32,Berenike Kampe,0,CA-2017-130799,Consumer,San Francisco,West,California,United States,Second Class,2017-11-11,2017-11-16,"Eldon Regeneration Recycled Desk Accessories, Smoke",Eldon,Furnishings,Furniture,2,4,7
32,Clytie Kelty,0,CA-2015-106264,Consumer,San Diego,West,California,United States,Standard Class,2015-12-26,2015-12-30,"Eldon Regeneration Recycled Desk Accessories, Smoke",Eldon,Furnishings,Furniture,1,2,3
32,Bill Shonely,0,US-2015-148194,Corporate,Seattle,West,Washington,United States,First Class,2015-05-04,2015-05-07,"Eldon Regeneration Recycled Desk Accessories, Smoke",Eldon,Furnishings,Furniture,4,7,12
15,Claudia Bergmann,20,CA-2016-113971,Corporate,Cuyahoga Falls,East,Ohio,United States,Standard Class,2016-05-08,2016-05-14,"Eldon Regeneration Recycled Desk Accessories, Smoke",Eldon,Furnishings,Furniture,1,6,8
2,Olvera Toch,0,CA-2018-115364,Consumer,San Diego,West,California,United States,Standard Class,2018-06-26,2018-07-02,Eldon Shelf Savers Cubes and Bins,Eldon,Storage,Office Supplies,2,12,84
2,Sheri Gordon,0,CA-2016-130218,Consumer,Florence,South,South Carolina,United States,First Class,2016-03-23,2016-03-26,Eldon Shelf Savers Cubes and Bins,Eldon,Storage,Office Supplies,1,4,28
2,Anna Andreadi,0,CA-2017-147137,Consumer,San Francisco,West,California,United States,First Class,2017-07-04,2017-07-06,Eldon Shelf Savers Cubes and Bins,Eldon,Storage,Office Supplies,1,4,28
2,Neoma Murray,0,CA-2016-162166,Consumer,Moreno Valley,West,California,United States,First Class,2016-09-08,2016-09-11,Eldon Shelf Savers Cubes and Bins,Eldon,Storage,Office Supplies,1,6,42
2,Marc Crier,0,CA-2016-105599,Consumer,New York City,East,New York,United States,Same Day,2016-09-07,2016-09-07,Eldon Shelf Savers Cubes and Bins,Eldon,Storage,Office Supplies,0,2,14
-23,Mick Crebagga,20,CA-2018-152807,Consumer,Philadelphia,East,Pennsylvania,United States,Standard Class,2018-10-30,2018-11-03,Eldon Shelf Savers Cubes and Bins,Eldon,Storage,Office Supplies,-3,2,11
2,Jay Kimmel,0,CA-2018-100601,Consumer,Fresno,West,California,United States,Standard Class,2018-11-16,2018-11-20,Eldon Shelf Savers Cubes and Bins,Eldon,Storage,Office Supplies,1,7,49
-23,Jill Stevenson,20,US-2015-127978,Corporate,Columbus,East,Ohio,United States,Standard Class,2015-03-03,2015-03-08,Eldon Shelf Savers Cubes and Bins,Eldon,Storage,Office Supplies,-10,8,45
10,Andrew Gjertsen,20,CA-2018-132976,Corporate,Philadelphia,East,Pennsylvania,United States,Standard Class,2018-10-13,2018-10-17,Eldon Simplefile Box Office,Eldon,Storage,Office Supplies,6,6,60
10,Gene McClure,20,CA-2016-169733,Consumer,Hollywood,South,Florida,United States,Second Class,2016-10-22,2016-10-26,Eldon Simplefile Box Office,Eldon,Storage,Office Supplies,1,1,10
28,Patrick O'Brill,0,CA-2016-104486,Consumer,San Francisco,West,California,United States,Standard Class,2016-05-01,2016-05-06,Eldon Simplefile Box Office,Eldon,Storage,Office Supplies,10,3,37
28,Michelle Moray,0,CA-2015-110555,Consumer,Great Falls,West,Montana,United States,Standard Class,2015-04-11,2015-04-18,Eldon Simplefile Box Office,Eldon,Storage,Office Supplies,24,7,87
10,Chris McAfee,20,US-2017-114230,Consumer,Phoenix,West,Arizona,United States,Standard Class,2017-11-27,2017-12-01,Eldon Simplefile Box Office,Eldon,Storage,Office Supplies,4,4,40
28,Cyma Kinney,0,CA-2017-101336,Corporate,New York City,East,New York,United States,Standard Class,2017-11-13,2017-11-18,Eldon Simplefile Box Office,Eldon,Storage,Office Supplies,7,2,25
28,Jim Mitchum,0,CA-2018-115931,Corporate,Carlsbad,West,New Mexico,United States,Standard Class,2018-12-22,2018-12-26,Eldon Simplefile Box Office,Eldon,Storage,Office Supplies,10,3,37
28,Eugene Moren,0,CA-2017-152730,Home Office,Superior,Central,Wisconsin,United States,Standard Class,2017-05-30,2017-06-04,Eldon Simplefile Box Office,Eldon,Storage,Office Supplies,14,4,50
14,Seth Vernon,20,CA-2017-157511,Consumer,Columbus,East,Ohio,United States,First Class,2017-09-18,2017-09-20,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Eldon,Art,Office Supplies,0,1,3
31,Ivan Gibson,0,CA-2018-158743,Consumer,Little Rock,South,Arkansas,United States,Standard Class,2018-10-20,2018-10-27,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Eldon,Art,Office Supplies,4,4,13
14,Bill Tyler,20,CA-2016-111325,Corporate,Altoona,East,Pennsylvania,United States,First Class,2016-02-27,2016-02-28,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Eldon,Art,Office Supplies,2,6,16
14,Brenda Bowman,20,CA-2016-107083,Corporate,Fort Worth,Central,Texas,United States,Standard Class,2016-11-21,2016-11-27,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Eldon,Art,Office Supplies,1,2,5
14,Andy Yotov,20,CA-2015-101427,Corporate,Philadelphia,East,Pennsylvania,United States,Standard Class,2015-12-26,2015-12-30,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Eldon,Art,Office Supplies,1,3,8
14,Max Ludwig,20,CA-2018-133648,Home Office,Springfield,West,Oregon,United States,Standard Class,2018-06-25,2018-07-02,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Eldon,Art,Office Supplies,1,2,5
34,Gary McGarr,0,CA-2018-135783,Consumer,San Francisco,West,California,United States,First Class,2018-04-22,2018-04-24,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Eldon,Furnishings,Furniture,6,2,18
34,Pauline Johnson,0,CA-2018-143686,Consumer,Santa Ana,West,California,United States,Same Day,2018-05-14,2018-05-14,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Eldon,Furnishings,Furniture,6,2,18
34,Maureen Fritzler,0,CA-2017-114307,Corporate,Columbia,East,Maryland,United States,Standard Class,2017-07-22,2017-07-26,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Eldon,Furnishings,Furniture,9,3,27
34,Randy Ferguson,0,CA-2016-106187,Corporate,East Point,South,Georgia,United States,Standard Class,2016-06-23,2016-06-29,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Eldon,Furnishings,Furniture,9,3,27
34,Arthur Wiediger,0,CA-2016-144519,Home Office,Helena,West,Montana,United States,Standard Class,2016-11-13,2016-11-17,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Eldon,Furnishings,Furniture,22,7,64
44,Katrina Willman,0,CA-2018-144904,Consumer,New York City,East,New York,United States,Standard Class,2018-09-25,2018-10-01,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,21,8,47
30,Tanja Norvell,20,CA-2017-109869,Home Office,Phoenix,West,Arizona,United States,Standard Class,2017-04-22,2017-04-29,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,7,5,24
-40,Maribeth Schnelling,60,CA-2016-140221,Consumer,Chicago,Central,Illinois,United States,Second Class,2016-03-05,2016-03-09,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,-2,2,5
44,Anne McFarland,0,CA-2015-145387,Consumer,Cranston,East,Rhode Island,United States,Second Class,2015-10-31,2015-11-02,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,8,3,18
28,Chloris Kastensmidt,20,CA-2015-166884,Consumer,Columbus,East,Ohio,United States,Second Class,2015-03-11,2015-03-16,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,2,5,8
42,Maris LaWare,0,CA-2018-121580,Consumer,Columbus,Central,Indiana,United States,Standard Class,2018-05-29,2018-06-04,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,3,3,6
30,Sean O'Donnell,20,CA-2018-147228,Consumer,Columbia,South,Tennessee,United States,Standard Class,2018-09-09,2018-09-14,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,4,3,14
42,Cassandra Brandow,0,CA-2016-121188,Consumer,Los Angeles,West,California,United States,Standard Class,2016-08-28,2016-09-04,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,2,2,4
42,Gary Hwang,0,CA-2015-144414,Consumer,Seattle,West,Washington,United States,Standard Class,2015-06-17,2015-06-21,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,3,3,6
44,Joel Eaton,0,US-2018-141852,Consumer,Oceanside,West,California,United States,Standard Class,2018-11-09,2018-11-14,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,21,8,47
28,Matt Connell,20,CA-2015-103989,Corporate,Lakeland,South,Florida,United States,First Class,2015-03-19,2015-03-21,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,1,3,5
-40,David Wiener,60,US-2017-127971,Corporate,Houston,Central,Texas,United States,Standard Class,2017-11-20,2017-11-27,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,-3,3,7
30,Noel Staavos,20,CA-2016-108259,Corporate,Jacksonville,South,North Carolina,United States,Standard Class,2016-11-08,2016-11-15,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,1,1,5
44,Sally Hughsby,0,CA-2018-101805,Corporate,Seattle,West,Washington,United States,Standard Class,2018-12-01,2018-12-06,Eldon Wave Desk Accessories,Eldon,Furnishings,Furniture,31,12,71
48,Alan Schoenberger,0,CA-2016-144253,Corporate,New York City,East,New York,United States,Second Class,2016-05-04,2016-05-09,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Electrix,Furnishings,Furniture,13,2,27
48,Jeremy Ellison,0,CA-2017-152632,Consumer,Troy,East,New York,United States,Standard Class,2017-10-27,2017-11-02,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Electrix,Furnishings,Furniture,19,3,40
48,Katrina Willman,0,CA-2017-146682,Consumer,Lansing,Central,Michigan,United States,First Class,2017-10-29,2017-10-31,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Electrix,Furnishings,Furniture,32,5,67
48,Harold Engle,0,CA-2017-146374,Corporate,Newark,East,Delaware,United States,Second Class,2017-12-05,2017-12-10,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Electrix,Furnishings,Furniture,6,1,13
35,Craig Leslie,20,CA-2017-108875,Home Office,Aurora,West,Colorado,United States,Standard Class,2017-09-24,2017-10-01,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Electrix,Furnishings,Furniture,8,2,21
-78,Gene Hale,60,CA-2017-117590,Corporate,Richardson,Central,Texas,United States,First Class,2017-12-08,2017-12-10,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Electrix,Furnishings,Furniture,-148,5,191
29,Logan Currie,0,CA-2017-137043,Consumer,Springfield,South,Virginia,United States,Second Class,2017-12-23,2017-12-25,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Electrix,Furnishings,Furniture,83,3,286
29,Logan Currie,0,CA-2017-137043,Consumer,Springfield,South,Virginia,United States,Second Class,2017-12-23,2017-12-25,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Electrix,Furnishings,Furniture,166,6,573
29,Duane Noonan,0,CA-2018-136882,Consumer,Tulsa,Central,Oklahoma,United States,Standard Class,2018-05-27,2018-06-03,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Electrix,Furnishings,Furniture,138,5,477
29,Alejandro Grove,0,CA-2017-105732,Consumer,Omaha,Central,Nebraska,United States,Standard Class,2017-09-13,2017-09-18,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Electrix,Furnishings,Furniture,388,14,"1,336"
10,Anna Gayman,20,CA-2017-133368,Consumer,Concord,South,North Carolina,United States,Standard Class,2017-01-14,2017-01-20,Electrix Fluorescent Magnifier Lamps & Weighted Base,Electrix,Furnishings,Furniture,32,8,316
28,Rick Wilson,0,CA-2018-101014,Corporate,Los Angeles,West,California,United States,Standard Class,2018-08-29,2018-09-04,Electrix Fluorescent Magnifier Lamps & Weighted Base,Electrix,Furnishings,Furniture,41,3,148
8,Anthony Johnson,20,CA-2015-106810,Corporate,Saint Petersburg,South,Florida,United States,Standard Class,2015-05-14,2015-05-20,Electrix Halogen Magnifier Lamp,Electrix,Furnishings,Furniture,23,2,311
8,Anthony Witt,20,CA-2018-143798,Consumer,Philadelphia,East,Pennsylvania,United States,First Class,2018-12-10,2018-12-12,Electrix Halogen Magnifier Lamp,Electrix,Furnishings,Furniture,23,2,311
-85,Ralph Ritter,60,CA-2018-162565,Consumer,Aurora,Central,Illinois,United States,Same Day,2018-12-11,2018-12-11,Electrix Halogen Magnifier Lamp,Electrix,Furnishings,Furniture,-66,1,78
26,Gary Zandusky,0,CA-2017-131737,Consumer,Columbia,East,Maryland,United States,Same Day,2017-03-17,2017-03-17,Electrix Halogen Magnifier Lamp,Electrix,Furnishings,Furniture,253,5,972
8,Liz Preis,20,CA-2017-112830,Consumer,Fairfield,East,Ohio,United States,Standard Class,2017-06-06,2017-06-10,Electrix Halogen Magnifier Lamp,Electrix,Furnishings,Furniture,35,3,466
8,Craig Yedwab,20,CA-2016-112144,Corporate,Gilbert,West,Arizona,United States,Standard Class,2016-06-28,2016-07-02,Electrix Halogen Magnifier Lamp,Electrix,Furnishings,Furniture,47,4,622
-83,Janet Lee,60,US-2015-130379,Consumer,Chicago,Central,Illinois,United States,Standard Class,2015-05-25,2015-05-29,"Electrix Incandescent Magnifying Lamp, Black",Electrix,Furnishings,Furniture,-24,2,29
9,Randy Ferguson,20,CA-2015-124079,Corporate,Phoenix,West,Arizona,United States,Standard Class,2015-12-13,2015-12-17,"Electrix Incandescent Magnifying Lamp, Black",Electrix,Furnishings,Furniture,8,3,88
13,Lena Cacioppo,20,CA-2018-118017,Consumer,Thornton,West,Colorado,United States,Second Class,2018-12-03,2018-12-06,"Elite 5"" Scissors",Other,Supplies,Office Supplies,6,7,47
30,Alejandro Grove,0,CA-2017-105732,Consumer,Omaha,Central,Nebraska,United States,Standard Class,2017-09-13,2017-09-18,"Elite 5"" Scissors",Other,Supplies,Office Supplies,5,2,17
13,Noel Staavos,20,CA-2017-162187,Corporate,Columbus,East,Ohio,United States,Same Day,2017-12-11,2017-12-11,"Elite 5"" Scissors",Other,Supplies,Office Supplies,2,2,14
30,Theresa Swint,0,CA-2017-120005,Corporate,San Francisco,West,California,United States,Same Day,2017-03-03,2017-03-03,"Elite 5"" Scissors",Other,Supplies,Office Supplies,8,3,25
30,George Bell,0,CA-2016-167745,Corporate,Los Angeles,West,California,United States,Standard Class,2016-09-18,2016-09-23,"Elite 5"" Scissors",Other,Supplies,Office Supplies,5,2,17
13,Jennifer Patt,20,CA-2017-161676,Corporate,Glendale,West,Arizona,United States,Standard Class,2017-07-18,2017-07-23,"Elite 5"" Scissors",Other,Supplies,Office Supplies,4,5,34
30,Clay Rozendal,0,CA-2017-165561,Home Office,Bellevue,West,Washington,United States,Standard Class,2017-11-24,2017-11-28,"Elite 5"" Scissors",Other,Supplies,Office Supplies,8,3,25
35,Max Jones,20,CA-2017-124149,Consumer,Lancaster,East,Ohio,United States,First Class,2017-04-23,2017-04-26,Embossed Ink Jet Note Cards,Other,Paper,Office Supplies,38,6,108
48,Arianne Irving,0,CA-2017-158694,Consumer,Los Angeles,West,California,United States,Second Class,2017-11-10,2017-11-13,Embossed Ink Jet Note Cards,Other,Paper,Office Supplies,33,3,68
35,Evan Henry,20,CA-2017-160486,Consumer,West Palm Beach,South,Florida,United States,Standard Class,2017-12-30,2018-01-04,Embossed Ink Jet Note Cards,Other,Paper,Office Supplies,25,4,72
35,Kelly Lampkin,20,US-2017-153815,Corporate,Jacksonville,South,Florida,United States,First Class,2017-11-06,2017-11-09,Embossed Ink Jet Note Cards,Other,Paper,Office Supplies,13,2,36
21,Amy Hunt,20,CA-2016-141243,Consumer,Dallas,Central,Texas,United States,Second Class,2016-01-03,2016-01-08,Enermax Acrylux Wireless Keyboard,Enermax,Accessories,Technology,85,5,398
37,John Stevenson,0,US-2016-126214,Consumer,Seattle,West,Washington,United States,Second Class,2016-12-21,2016-12-24,Enermax Acrylux Wireless Keyboard,Enermax,Accessories,Technology,37,1,100
37,Jessica Myrick,0,CA-2016-148712,Consumer,New York City,East,New York,United States,Standard Class,2016-04-17,2016-04-23,Enermax Acrylux Wireless Keyboard,Enermax,Accessories,Technology,37,1,100
21,Justin Ritter,20,CA-2016-142202,Corporate,Jacksonville,South,Florida,United States,Second Class,2016-09-18,2016-09-23,Enermax Acrylux Wireless Keyboard,Enermax,Accessories,Technology,152,9,717
37,Tamara Chand,0,CA-2015-153087,Corporate,Decatur,South,Alabama,United States,Standard Class,2015-12-27,2016-01-03,Enermax Acrylux Wireless Keyboard,Enermax,Accessories,Technology,184,5,498
21,Sam Zeldin,20,CA-2016-154284,Home Office,Saint Charles,Central,Illinois,United States,Second Class,2016-12-21,2016-12-26,Enermax Acrylux Wireless Keyboard,Enermax,Accessories,Technology,135,8,637
44,Bradley Drucker,0,CA-2015-140795,Consumer,Green Bay,Central,Wisconsin,United States,First Class,2015-02-01,2015-02-03,Enermax Aurora Lite Keyboard,Enermax,Accessories,Technology,206,6,469
44,Becky Martin,0,CA-2017-126004,Consumer,New York City,East,New York,United States,First Class,2017-12-04,2017-12-05,Enermax Aurora Lite Keyboard,Enermax,Accessories,Technology,34,1,78
44,Susan Vittorini,0,CA-2018-116225,Consumer,New York City,East,New York,United States,Standard Class,2018-11-05,2018-11-09,Enermax Aurora Lite Keyboard,Enermax,Accessories,Technology,172,5,391
44,Patrick Gardner,0,CA-2017-151561,Consumer,New York City,East,New York,United States,Standard Class,2017-09-01,2017-09-07,Enermax Aurora Lite Keyboard,Enermax,Accessories,Technology,206,6,469
44,Natalie Fritzler,0,CA-2015-127614,Consumer,Chesapeake,South,Virginia,United States,Standard Class,2015-02-11,2015-02-15,Enermax Aurora Lite Keyboard,Enermax,Accessories,Technology,103,3,234
36,William Brown,0,CA-2018-138149,Consumer,Los Angeles,West,California,United States,First Class,2018-06-29,2018-06-30,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Enermax,Accessories,Technology,22,3,62
20,Alejandro Savely,20,CA-2018-149706,Corporate,Palatine,Central,Illinois,United States,First Class,2018-12-11,2018-12-12,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Enermax,Accessories,Technology,23,7,116
36,Linda Cazamias,0,CA-2015-109491,Corporate,Richmond,Central,Indiana,United States,Standard Class,2015-02-20,2015-02-26,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Enermax,Accessories,Technology,22,3,62
36,Katrina Edelman,0,CA-2015-112291,Corporate,Los Angeles,West,California,United States,Standard Class,2015-04-03,2015-04-08,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Enermax,Accessories,Technology,22,3,62
36,Lindsay Williams,0,CA-2018-101245,Corporate,San Francisco,West,California,United States,Standard Class,2018-11-27,2018-12-03,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Enermax,Accessories,Technology,60,8,166
-83,Natalie Webber,70,CA-2015-138317,Consumer,Philadelphia,East,Pennsylvania,United States,Standard Class,2015-06-21,2015-06-25,Epson Perfection V600 Photo Scanner,Epson,Machines,Technology,-172,3,207
-143,Sean Braxton,70,US-2018-165344,Corporate,Springfield,East,Ohio,United States,First Class,2018-11-13,2018-11-15,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Epson,Machines,Technology,-936,7,653
-22,Andy Gerbode,40,CA-2015-158281,Corporate,Houston,Central,Texas,United States,Standard Class,2015-09-02,2015-09-07,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Epson,Machines,Technology,-121,3,560
43,Shirley Daniels,0,CA-2015-101476,Home Office,New Rochelle,East,New York,United States,First Class,2015-09-12,2015-09-13,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Epson,Machines,Technology,30,1,70
43,Ted Trevino,0,CA-2015-128839,Consumer,Chesapeake,South,Virginia,United States,Standard Class,2015-09-08,2015-09-13,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Epson,Machines,Technology,90,3,210
-275,Dorris liebe,80,US-2018-155299,Corporate,Pasadena,Central,Texas,United States,Standard Class,2018-06-08,2018-06-12,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Eureka,Appliances,Office Supplies,-4,2,2
28,Emily Grady,0,CA-2016-138625,Consumer,Chesapeake,South,Virginia,United States,First Class,2016-11-02,2016-11-05,"Eureka Hand Vacuum, Bagless",Eureka,Appliances,Office Supplies,55,4,198
35,Alan Shonely,20,CA-2016-143700,Consumer,Philadelphia,East,Pennsylvania,United States,Same Day,2016-07-26,2016-07-26,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Eureka,Paper,Office Supplies,4,2,10
35,Cassandra Brandow,20,CA-2018-100160,Consumer,Philadelphia,East,Pennsylvania,United States,Standard Class,2018-09-07,2018-09-11,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Eureka,Paper,Office Supplies,5,3,16
35,Brian Moss,20,CA-2015-165379,Corporate,Dallas,Central,Texas,United States,Standard Class,2015-07-09,2015-07-15,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Eureka,Paper,Office Supplies,4,2,10
35,Jennifer Patt,20,CA-2017-158925,Corporate,Houston,Central,Texas,United States,Standard Class,2017-10-24,2017-10-28,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Eureka,Paper,Office Supplies,5,3,16
48,Henry Goldwyn,0,CA-2017-145919,Corporate,Los Angeles,West,California,United States,Standard Class,2017-12-18,2017-12-23,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Eureka,Paper,Office Supplies,19,6,39
48,Shirley Daniels,0,US-2015-155502,Home Office,Alexandria,South,Virginia,United States,Standard Class,2015-01-26,2015-01-31,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Eureka,Paper,Office Supplies,9,3,19
-270,Logan Currie,80,US-2018-116701,Consumer,Dallas,Central,Texas,United States,Second Class,2018-12-17,2018-12-21,Eureka Sanitaire  Commercial Upright,Eureka,Appliances,Office Supplies,-179,2,66
26,Art Ferguson,0,CA-2017-146934,Consumer,Passaic,East,New Jersey,United States,Standard Class,2017-05-22,2017-05-27,Eureka Sanitaire  Commercial Upright,Eureka,Appliances,Office Supplies,172,4,663
8,Dario Medina,20,CA-2015-141649,Corporate,Fairfield,East,Ohio,United States,Same Day,2015-09-30,2015-09-30,Eureka Sanitaire  Commercial Upright,Eureka,Appliances,Office Supplies,60,6,795
26,Cari Schnelling,0,US-2018-123204,Consumer,New York City,East,New York,United States,Standard Class,2018-07-21,2018-07-27,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Eureka,Appliances,Office Supplies,5,4,17
8,Nick Radford,20,CA-2018-140872,Consumer,Pembroke Pines,South,Florida,United States,Standard Class,2018-06-03,2018-06-10,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Eureka,Appliances,Office Supplies,2,7,24
8,Barry Blumstein,20,US-2018-112928,Corporate,Toledo,East,Ohio,United States,Second Class,2018-06-01,2018-06-05,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Eureka,Appliances,Office Supplies,1,5,17
8,Ben Peterman,20,US-2016-112508,Corporate,Coral Springs,South,Florida,United States,Standard Class,2016-03-24,2016-03-30,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Eureka,Appliances,Office Supplies,1,2,7
26,Keith Dawkins,0,CA-2017-123337,Corporate,San Jose,West,California,United States,Standard Class,2017-09-16,2017-09-22,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Eureka,Appliances,Office Supplies,5,4,17
27,Darren Koutras,0,CA-2016-134894,Consumer,Henderson,South,Kentucky,United States,Standard Class,2016-12-07,2016-12-11,Eureka The Boss Cordless Rechargeable Stick Vac,Eureka,Appliances,Office Supplies,41,3,153
27,Trudy Schmidt,0,CA-2018-133487,Consumer,Rancho Cucamonga,West,California,United States,Second Class,2018-05-06,2018-05-09,Eureka The Boss Cordless Rechargeable Stick Vac,Eureka,Appliances,Office Supplies,41,3,153
27,Roy Französisch,0,CA-2017-139381,Consumer,Chesapeake,South,Virginia,United States,Standard Class,2017-04-18,2017-04-22,Eureka The Boss Cordless Rechargeable Stick Vac,Eureka,Appliances,Office Supplies,55,4,204
27,Marina Lichtenstein,0,CA-2015-134215,Corporate,Bangor,East,Maine,United States,Standard Class,2015-08-04,2015-08-08,Eureka The Boss Cordless Rechargeable Stick Vac,Eureka,Appliances,Office Supplies,28,2,102
27,Suzanne McNair,0,CA-2018-105235,Corporate,New York City,East,New York,United States,Standard Class,2018-12-05,2018-12-11,Eureka The Boss Cordless Rechargeable Stick Vac,Eureka,Appliances,Office Supplies,69,5,255
9,Dario Medina,20,CA-2018-128769,Corporate,Nashville,South,Tennessee,United States,Standard Class,2018-09-07,2018-09-12,Eureka The Boss Cordless Rechargeable Stick Vac,Eureka,Appliances,Office Supplies,7,2,82
28,Edward Nazzal,0,CA-2016-103177,Consumer,New York City,East,New York,United States,First Class,2016-05-30,2016-06-01,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",Eureka,Appliances,Office Supplies,45,2,160
28,Brosina Hoffman,0,CA-2018-135587,Consumer,Hattiesburg,South,Mississippi,United States,Standard Class,2018-12-07,2018-12-12,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",Eureka,Appliances,Office Supplies,90,4,321
28,Michael Chen,0,US-2018-128447,Consumer,Pasco,West,Washington,United States,Standard Class,2018-11-10,2018-11-17,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",Eureka,Appliances,Office Supplies,112,5,401
28,Adam Bellavance,0,US-2017-108637,Home Office,Waynesboro,South,Virginia,United States,Standard Class,2017-03-13,2017-03-18,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",Eureka,Appliances,Office Supplies,45,2,160
27,Chuck Clark,0,CA-2018-126221,Home Office,Columbus,Central,Indiana,United States,Standard Class,2018-12-30,2019-01-05,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Eureka,Appliances,Office Supplies,57,2,209
9,Grant Thornton,20,US-2018-168116,Corporate,Burlington,South,North Carolina,United States,Same Day,2018-11-04,2018-11-04,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Eureka,Appliances,Office Supplies,15,2,167
19,Joseph Airdo,10,CA-2017-116526,Consumer,Detroit,Central,Michigan,United States,Standard Class,2017-09-01,2017-09-05,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Eureka,Appliances,Office Supplies,71,4,377
-265,Gary Hansen,80,CA-2017-144540,Home Office,Houston,Central,Texas,United States,Standard Class,2017-09-05,2017-09-10,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Eureka,Appliances,Office Supplies,-166,3,63
27,Philisse Overcash,0,CA-2016-164539,Home Office,New York City,East,New York,United States,Standard Class,2016-11-16,2016-11-22,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Eureka,Appliances,Office Supplies,141,5,523
9,Paul Prost,20,CA-2017-145177,Home Office,Springfield,East,Ohio,United States,Standard Class,2017-11-10,2017-11-14,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Eureka,Appliances,Office Supplies,29,4,335
-270,Lena Cacioppo,80,US-2018-125647,Consumer,Chicago,Central,Illinois,United States,Standard Class,2018-09-23,2018-09-28,Euro Pro Shark Stick Mini Vacuum,Euro Pro,Appliances,Office Supplies,-198,6,73
